timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,isFailure
1526371739429215,-1,-1,-4,3,0,-1,2,1,false
1526371739429215,1,-1,31,10,-7,1,-1,-2,false
1526371739437223,3,4,-19,-7,14,8,1,4,false
1526371739437223,-2,-5,7,25,-27,-15,-6,-3,false
1526371739443229,-1,-2,-7,-37,19,6,0,0,false
1526371739443229,2,2,6,15,-7,0,1,-1,false
1526371739452229,-2,-1,3,-7,2,1,0,-1,false
1526371739452229,-1,4,13,5,0,-2,-2,-2,false
1526371739458235,1,-1,-15,-4,-11,-7,-2,0,false
1526371739458235,-5,-5,-9,-7,-13,-9,-7,-3,false
1526371739474245,-4,-1,2,5,3,3,0,-1,false
1526371739474245,0,1,-2,4,10,0,1,1,false
1526371739481254,0,-3,-3,-5,1,1,0,-2,false
1526371739481254,1,2,-2,1,0,-2,0,2,false
1526371739497265,0,5,25,8,-6,-7,-3,-2,false
1526371739497265,-2,-8,-21,-4,6,8,1,0,false
1526371739505265,-1,-2,-9,-10,4,0,1,-1,false
1526371739505265,-2,-3,-27,-13,-3,-2,-3,-1,false
1526371739511273,0,-4,0,-2,-20,-14,-5,-2,false
1526371739511273,-1,0,7,13,-20,-4,0,-2,false
1526371739520275,3,6,5,4,41,17,5,2,false
1526371739520275,1,2,12,17,11,6,3,0,false
1526371739534289,3,5,23,18,7,-1,2,0,false
1526371739534289,-2,-5,-31,-47,-22,-9,-7,-3,false
1526371739541310,-4,-8,-18,-14,-25,-12,-3,0,false
1526371739541310,0,3,6,21,0,1,1,1,false
1526371739557322,1,1,-2,5,13,9,2,2,false
1526371739557322,3,7,14,8,24,5,1,2,false
1526371739559303,-2,-4,0,-1,-14,-3,-1,-1,false
1526371739559303,1,3,10,-3,-5,-2,-1,0,false
1526371739571314,-2,-5,-8,6,-5,-7,-3,-1,false
1526371739571314,0,-2,-5,-4,0,9,3,-1,false
1526371739580315,-1,-2,3,10,-1,2,-3,0,false
1526371739580315,1,1,8,-3,6,5,3,2,false
1526371739594329,0,3,-8,-3,7,-2,-2,-2,false
1526371739594329,-1,4,15,-3,2,0,0,0,false
